seconds,sensor_accX_m_s_,sensor_accY_m_s_,sensor_accZ_m_s_,sensor_gyroX____s_,sensor_gyroY____s_,sensor_gyroZ____s_,sensor_magX___T_,sensor_magY___T_,sensor_magZ___T_,sensor_yaw____,sensor_pitch____,sensor_roll____,label5
1.6,1.003085732,-0.638218522,9.526622772,1.349093914,-0.884151995,0.503051996,-1236.300049,-12.90000057,-878.1000366,-1.089487825,0.105314044,0.065914249,ST
1.63333333333333,0.974973023,-0.551487803,9.526622772,1.036592007,-0.541162014,0.503051996,-1229.100098,-15.30000019,-875.7000122,-1.090771127,0.102944876,0.056998685,ST
1.66666666666667,0.995309889,-0.526365817,9.576867104,0.685979962,-0.350611985,0.487807989,-1226.700073,-14.70000076,-878.1000366,-1.092456503,0.103873953,0.054090933,ST
1.7,1.054526091,-0.532945395,9.412377357,0.53354001,-0.320124,0.556405962,-1236.300049,-15.90000057,-878.1000366,-1.094785543,0.111172081,0.055590976,ST
1.73333333333333,1.024618864,-0.563450694,9.649242401,0.342989981,-0.29725799,0.556405962,-1231.5,-14.10000038,-878.1000366,-1.097297355,0.106424263,0.057681767,ST
1.76666666666667,1.052133441,-0.424681515,9.464416504,0.449698001,-0.396344006,0.792688012,-1231.5,-14.10000038,-882.9000244,-1.099162716,0.110898427,0.045139067,ST
1.8,1.111349583,-0.283519775,9.551146507,0.510674,-0.609759986,0.990859985,-1241.100098,-13.50000095,-880.500061,-1.101174431,0.116260232,0.030450468,ST
1.83333333333333,1.513899803,-0.059814297,10.01111889,0.655492008,-1.394825935,1.333850026,-1236.300049,-14.10000038,-880.500061,-1.103085258,0.149211574,0.007466562,ST
1.86666666666667,1.547994018,0.027514577,10.93046474,1.028970003,-3.971061945,1.653973937,-1248.300049,-15.30000019,-873.3000488,-1.108275204,0.147730609,-0.003104802,ST
1.9,1.213033915,-0.013159146,10.23841286,1.379581928,-7.888769627,2.416173935,-1250.700073,-14.70000076,-866.1000366,-1.117482666,0.133154861,-0.000774588,ST
1.93333333333333,1.856037617,0.323595345,8.412282944,0.647870004,-4.13112402,3.224105835,-1265.100098,-13.50000095,-861.3000488,-1.122592843,0.216098006,-0.035019149,ST
1.96666666666667,2.043854475,0.391783655,9.145008087,-0.487807989,1.34147191,4.009171963,-1262.700073,-14.10000038,-863.7000122,-1.134863643,0.217482328,-0.03991057,ST
2.0,1.763923645,0.267369896,9.106128693,-1.326228023,4.016793728,4.718018055,-1255.5,-13.50000095,-863.7000122,-1.153011541,0.187477629,-0.026702972,ST
2.03333333333333,0.963608325,0.007775859,9.234729767,-2.111294031,5.099117756,4.695151806,-1253.100098,-11.10000038,-873.3000488,-1.172286331,0.103473314,0.001072397,ST
2.06666666666667,-0.122619309,-0.551487803,9.6558218,-2.858249903,5.099117756,4.298808098,-1241.100098,-10.5,-875.7000122,-1.188749669,-0.010528523,0.05659068,ST
2.1,-0.752463877,-0.922934592,9.905845642,-2.942091942,4.184477806,3.376545906,-1236.300049,-7.500000477,-875.7000122,-1.19810133,-0.076680326,0.093969803,ST
2.13333333333333,-0.927719772,-1.370943666,9.869359016,-2.538125992,2.46952796,2.812517881,-1233.900024,-5.700000286,-882.9000244,-1.20418909,-0.096162563,0.138419879,ST
2.16666666666667,-1.15561223,-1.429561734,9.428527832,-2.134160042,0.442075998,2.439039946,-1236.300049,-6.300000191,-882.9000244,-1.211562268,-0.119650297,0.152338322,ST
2.2,-0.843979716,-1.47083354,9.038537979,-2.248489857,-1.935987949,2.736297846,-1231.5,-4.5,-887.7000122,-1.221510678,-0.092081936,0.163606331,ST
2.23333333333333,-0.452196091,-1.668818831,8.789710999,-2.446661949,-4.093013763,2.98020196,-1233.900024,-3.300000191,-890.1000366,-1.232901946,-0.048748328,0.189006961,ST
2.26666666666667,-0.17286332,-1.857832074,8.603090286,-2.911603928,-5.70887804,2.835383892,-1243.5,-1.5,-880.500061,-1.245955993,-0.014353186,0.215029716,ST
2.3,-0.042468149,-2.006171465,8.449367523,-3.170752048,-6.135709763,2.820139885,-1248.300049,-1.5,-875.7000122,-1.260152563,0.002697299,0.236507442,ST
2.33333333333333,0.157909751,-2.610893965,8.917713165,-3.727157831,-5.586925983,2.553369999,-1257.900024,-0.300000012,-870.9000244,-1.27419317,0.023118904,0.286471103,ST
2.36666666666667,0.326586068,-2.896806479,9.439293861,-3.673803806,-5.182960033,1.699705958,-1265.100098,1.5,-863.7000122,-1.285121986,0.039226687,0.302752854,ST
2.4,0.552684128,-3.0170331,9.660009384,-2.675322056,-5.807963848,0.861285985,-1269.900024,2.700000048,-861.3000488,-1.294230155,0.061916201,0.307282461,ST
2.43333333333333,1.25191319,-3.227579355,9.025977135,-2.164648056,-6.128087997,-0.945127964,-1277.100098,2.700000048,-856.500061,-1.300744148,0.133392594,0.343785619,ST
2.46666666666667,1.595845461,-3.590652227,8.525331497,-1.547266006,-5.625035763,-2.538125992,-1293.900024,3.900000095,-846.9000244,-1.307056102,0.178590403,0.39765092,ST
2.5,1.070675969,-3.496743917,8.26095295,0.320124,-4.93905592,-4.329296112,-1291.5,3.300000191,-839.7000122,-1.300381453,0.13409948,0.399194041,ST
2.53333333333333,1.125106931,-3.329263687,7.572490215,0.663114011,-4.047281742,-5.061007977,-1303.5,1.5,-846.9000244,-1.291046143,0.144421003,0.41140224,ST
2.56666666666667,0.61429286,-2.976359367,8.335720062,1.143299937,-3.460387945,-5.175337791,-1305.900024,0.300000012,-839.7000122,-1.271038928,0.08311951,0.345663481,ST
2.6,0.616087258,-2.859123468,7.655033588,2.141782045,-4.184477806,-4.336917877,-1310.700073,-1.5,-837.3000488,-1.262899487,0.084584187,0.352696127,ST
2.63333333333333,1.759138465,-2.924919128,8.191568375,2.027451992,-3.78813386,-4.245453835,-1317.900024,-3.300000191,-834.9000244,-1.252843408,0.197088885,0.33985994,ST
2.66666666666667,2.01215291,-2.792729616,8.006741524,2.713431835,-4.740883827,-4.53508997,-1325.100098,-4.5,-832.500061,-1.243713961,0.239201141,0.33065729,ST
2.7,2.260980368,-2.516985655,7.289568424,3.208861828,-4.367405891,-4.733262062,-1327.5,-5.100000381,-825.3000488,-1.234689207,0.290854332,0.325709484,ST
2.73333333333333,3.740786076,-2.29686904,8.180203438,2.949713945,-4.405515671,-3.506119967,-1334.700073,-6.300000191,-820.500061,-1.213228052,0.411810501,0.272511857,ST
2.76666666666667,4.596728802,-2.330364943,8.440993309,3.475631952,-6.211929798,-2.416173935,-1337.100098,-6.300000191,-815.7000122,-1.212786503,0.489754621,0.263269559,ST
2.8,6.174031734,-1.953534961,8.561220169,3.925329924,-4.634175777,-0.457319975,-1344.300049,-10.5,-808.500061,-1.200875823,0.61180328,0.221421357,ST
2.83333333333333,6.731501102,-1.713679671,9.122278214,4.42838192,-3.376545906,0.190549999,-1351.5,-12.30000019,-810.9000244,-1.18974673,0.631264554,0.182861093,ST
2.86666666666667,7.527030945,-1.113742232,9.308898926,4.298808098,-2.713431835,1.676839948,-1351.5,-11.10000038,-803.7000122,-1.166631713,0.67636483,0.120700947,ST
2.9,8.585743904,-1.285409212,9.678551674,3.201239824,-0.564027965,2.759163857,-1358.700073,-12.30000019,-798.9000244,-1.186965164,0.717549707,0.129709636,ST
2.93333333333333,8.894984245,-1.76511991,9.040930748,2.57623601,1.699705958,2.667700052,-1353.900024,-12.90000057,-803.7000122,-1.239047669,0.76101786,0.187565921,ST
2.96666666666667,8.543275833,-1.347018003,10.28028297,2.035073996,3.056421995,2.179892063,-1353.900024,-12.30000019,-808.500061,-1.212687464,0.690449175,0.134259528,ST
3.0,7.982217789,-0.738706589,10.09725189,2.096050024,3.140264034,2.827761889,-1346.700073,-11.10000038,-808.500061,-1.188908833,0.664423417,0.078362818,ST
3.03333333333333,7.649650574,-0.310436189,9.48236084,1.112811923,3.932951927,2.484771967,-1341.900024,-9.900000572,-815.7000122,-1.172600991,0.671022829,0.03740338,ST
3.06666666666667,7.490544319,0.189013183,9.394433975,0.335367978,4.336917877,1.219519973,-1334.700073,-11.10000038,-810.9000244,-1.144396352,0.665904392,-0.015060531,ST
3.1,5.639291763,1.481001973,8.432620049,-0.091463998,5.625035763,-0.846041977,-1332.300049,-10.5,-818.1000366,-1.057190486,0.579972611,-0.162410801,ST
3.13333333333333,5.238536358,1.460067034,7.471404076,-0.685979962,5.693634033,-1.875011921,-1322.700073,-12.30000019,-822.9000244,-1.038043167,0.591337546,-0.190143639,ST
3.16666666666667,3.084623337,1.709492564,8.459535599,-1.684461951,5.541193962,-2.515259981,-1317.900024,-11.10000038,-834.9000244,-1.027937439,0.356195825,-0.197102628,ST
3.2,3.25688839,1.243539214,8.353664398,-2.035073996,6.089977741,-2.888737917,-1308.300049,-11.70000076,-834.9000244,-1.03596399,0.356738389,-0.150166549,ST
3.23333333333333,1.877570748,0.9719823,8.075528145,-2.568614006,5.53357172,-4.542711735,-1305.900024,-12.30000019,-849.3000488,-1.028085304,0.225036136,-0.119014029,ST
3.26666666666667,1.279427767,0.930710435,8.05878067,-2.690565825,5.274424076,-4.176856041,-1291.5,-12.90000057,-846.9000244,-1.014441414,0.151838571,-0.111840697,ST
3.3,1.178341627,-0.300267786,8.880628586,-3.315569878,5.30491209,-3.224105835,-1286.700073,-13.50000095,-856.500061,-1.021358704,0.125337986,0.02520396,ST
3.33333333333333,1.361971498,-1.833906293,9.398022652,-3.285081863,4.359784126,-3.368923903,-1272.300049,-12.30000019,-856.500061,-1.025705747,0.134257085,0.186639763,ST
3.36666666666667,1.561751246,-3.338834047,10.16902828,-3.711913824,4.169233799,-4.093013763,-1279.5,-11.10000038,-866.1000366,-1.023614895,0.139532415,0.310114892,ST
3.4,1.525862694,-3.897499561,10.04640961,-3.010689974,4.512223721,-3.879597902,-1267.5,-10.5,-861.3000488,-1.010359174,0.135946356,0.370072268,ST
3.43333333333333,1.661043048,-3.852040768,9.210803986,-2.36281991,4.565577984,-2.972579956,-1260.300049,-11.10000038,-868.500061,-0.997707864,0.157353725,0.396388373,ST
3.46666666666667,1.335055113,-3.020023823,8.603090286,-1.257629991,5.160093784,-1.608241916,-1255.5,-12.30000019,-875.7000122,-0.976246756,0.139127467,0.342554859,ST
3.5,0.126806304,-0.93669188,7.777653217,0.304879993,6.143332005,0.678357959,-1250.700073,-11.70000076,-880.500061,-0.957987559,0.017739107,0.139409197,ST
3.53333333333333,-0.325987905,-0.495262384,7.988797665,0.007622,7.461937904,3.132642031,-1231.5,-9.900000572,-887.7000122,-0.968201721,-0.04917185,0.067078105,ST
3.56666666666667,-1.553975463,-0.332567483,9.212597847,0.221037999,8.529017448,3.666181803,-1219.5,-10.5,-882.9000244,-0.982415101,-0.170073448,0.037803072,ST
3.6,-0.398961365,-0.087927014,7.492338657,0.556405962,9.466524124,2.987823963,-1207.5,-9.900000572,-894.9000244,-0.994821156,-0.078903431,0.012765401,ST
3.63333333333333,-4.127186298,-0.923532724,10.81322861,-0.182927996,11.27293777,2.271355867,-1193.100098,-9.300000191,-899.7000122,-0.986593395,-0.355325783,0.077739116,ST
3.66666666666667,-3.357376575,-2.793925762,10.65591717,-0.868907988,8.46804142,1.097568035,-1173.900024,-9.900000572,-902.1000366,-0.931434457,-0.314740079,0.243782435,ST
3.7,-2.926713467,-3.0170331,10.85928535,-1.486289978,4.085391998,-2.431417942,-1169.100098,-8.700000763,-904.500061,-0.913375643,-0.264787149,0.272460129,ST
3.73333333333333,-2.769999981,-2.171857119,8.683241844,-0.144817993,1.150921941,-2.964957952,-1164.300049,-7.500000477,-909.3000488,-0.909448991,-0.297526322,0.249330778,ST
3.76666666666667,-2.918937683,-1.537227392,8.162259102,1.036592007,1.669217944,-1.105189919,-1164.300049,-9.900000572,-904.500061,-0.921753663,-0.33722826,0.190089357,ST
3.8,-3.02660346,-1.197482228,7.842850685,0.907018006,1.23476398,-0.243903995,-1154.700073,-9.300000191,-906.9000244,-0.931660609,-0.363871784,0.153856804,ST
3.83333333333333,-3.267655134,-1.266866803,9.085193634,0.182927996,0.335367978,0.068598002,-1157.100098,-9.900000572,-904.500061,-0.936545775,-0.344251497,0.139284162,ST
3.86666666666667,-2.842973471,-1.440926433,8.31418705,0.091463998,-1.303362012,-0.922261953,-1157.100098,-8.100000381,-906.9000244,-0.923960199,-0.323973252,0.169631879,ST
3.9,-2.814860821,-1.558162451,8.552845955,-0.815553963,-2.690565825,-1.928365946,-1164.300049,-10.5,-904.500061,-0.916523085,-0.309364309,0.181271258,ST
3.93333333333333,-2.415301323,-2.184418201,8.530117035,-1.532021999,-4.984787941,-3.102154016,-1169.100098,-8.700000763,-904.500061,-0.891720408,-0.261219427,0.249720275,ST
